review_id,product_id,customer_id,rating,review_text,review_date
1,8,4,3,Other third choose senior anyone bank kitchen interest parent increase democratic mention generation.,2022-01-18
2,9,74,3,Main project animal house out account feeling deep case eight foreign account section.,2022-04-22
3,8,71,2,Mouth discover next property government however score job least back.,2022-11-09
4,10,12,1,Of remember individual boy again foot soon peace story turn because.,2024-12-24
5,5,51,4,Job hundred bad that second develop single baby plan.,2023-09-23
6,9,53,4,Town glass road standard spring door chair culture.,2024-01-06
7,10,10,2,Concern significant management senior service large.,2025-04-20
8,6,83,1,Poor worry follow wife firm key light place someone option goal avoid left.,2021-10-02
9,8,60,5,Story baby ten talk past medical leg never social time.,2023-05-28
10,6,17,5,Prepare focus little character artist billion tonight gas research mean common easy just.,2023-05-12
11,10,24,2,Particular hair truth hold simple quickly appear piece free form newspaper hit.,2022-08-12
12,7,65,1,Their four old center glass whose recognize hot organization visit finally heavy social.,2024-11-09
13,2,67,2,Behavior provide meet adult final week game she court yourself choice fast.,2024-10-03
14,5,22,2,Side strong this also from short capital heavy class story side speak.,2022-04-07
15,6,91,2,Analysis hair rest wide particular sell six doctor dream whole six.,2025-03-21
16,6,67,3,Happy water worker left example high month whom.,2024-11-14
17,2,33,2,Catch economic political them never bill suffer surface expect several evening town challenge.,2023-05-10
18,9,36,2,Stage this us increase how hear history bank.,2022-07-03
19,5,79,5,Us stuff practice social case expert stop receive catch relationship.,2023-05-26
20,2,65,2,Town affect democratic change vote participant.,2023-04-19
21,10,75,2,Down business draw police performance artist student matter movie.,2024-02-18
22,3,85,5,Drop century investment pass drive indicate professor beat window attack moment medical write.,2023-10-27
23,10,44,5,Them analysis hit health section ground attack drop price billion.,2023-12-07
24,1,4,1,Card good full poor store range wonder long consider care.,2024-06-20
25,1,83,5,Already cut social though firm financial huge spring list already positive.,2022-10-01
26,5,84,2,Tend forward buy happy threat sea.,2025-03-08
27,10,54,5,Fund cost reality happen something entire bar interesting issue yet.,2022-04-29
28,1,64,5,Fly bag produce fill owner international ready goal amount.,2025-01-31
29,5,83,3,Past itself police social arm provide image message seek civil.,2021-09-23
30,8,32,4,Question just call door population gun we allow check last he know baby.,2022-02-26
31,5,59,1,Huge power economic box save material hit no energy employee.,2023-05-23
32,1,21,4,Experience trouble make but table later together knowledge because radio suffer floor girl.,2021-11-11
33,7,62,4,Face feel church remember record company gun difference world society door management.,2023-01-18
34,4,44,5,Hard sound necessary partner beat finally yourself rest moment shoulder statement available win.,2024-03-04
35,3,41,3,Letter military campaign stop necessary onto should can me than story.,2023-09-04
36,6,52,2,Clearly follow remember generation wait thus suffer economy play.,2023-10-22
37,6,66,5,Person pass behavior political option oil commercial.,2024-02-07
38,2,41,2,Front under American tell ball we side enough decision occur peace air threat.,2023-10-15
39,8,16,3,Lot source rate father authority art keep machine daughter.,2024-01-12
40,8,32,2,Technology floor write generation human set middle blood drop business.,2023-05-27
41,2,7,3,Best face his past eat tend civil.,2022-11-30
42,7,79,4,Return couple city you level these market bed hotel lead drive on any.,2022-09-24
43,4,21,3,Think pressure like Mr suggest issue think road shake hand hundred now crime.,2023-10-26
44,10,93,3,Hit late near stay perhaps particularly.,2022-02-12
45,4,98,2,Hour some fund voice sense current meeting.,2023-08-09
46,8,66,4,Although require sound mind chance throw.,2022-03-01
47,8,40,4,Five hotel pattern successful order medical meeting majority none little admit former body.,2023-04-09
48,1,12,4,Someone rise read ago listen whose situation simply officer.,2024-06-27
49,9,59,2,Lose modern return simple herself start drug occur red course kid industry include.,2022-06-02
50,4,75,3,Simple turn their save artist catch debate foot production moment finish community.,2025-04-02
51,1,7,3,National put test race sound enough machine whatever everything fear.,2025-05-15
52,8,77,4,Side relate real major look night various return explain.,2023-11-24
53,5,69,1,Here woman stand west source fact explain research get kind either look.,2022-05-31
54,2,56,2,Even no even body scientist dream anything toward difficult do beyond form.,2023-06-30
55,5,94,3,Accept nearly upon imagine various there local.,2022-05-27
56,7,47,1,Fly position traditional become off movement rich view tree.,2022-04-21
57,7,7,5,Value already structure small control see the face.,2021-10-02
58,9,25,3,Nothing blue work expect writer myself management voice surface.,2023-06-23
59,9,37,1,Speak former room possible responsibility add front far.,2024-04-20
60,7,65,4,Compare task today still middle beautiful protect continue.,2022-03-02
61,9,36,5,Very according himself land environment form old of end growth.,2022-07-20
62,10,16,2,Let civil rather type thousand show real.,2024-02-28
63,2,51,3,Happen determine whatever long lawyer writer health reduce tree.,2024-08-19
64,6,72,3,Seven quite other skin moment month gun true.,2022-01-19
65,3,26,5,Total dark Mr clearly take kind quite response major together knowledge argue car.,2023-04-07
66,9,52,5,Around left southern rich how staff second official and general as yes various.,2021-11-17
67,1,6,1,All important shoulder she within position inside year him thank trade heart.,2024-05-02
68,3,92,3,Card team budget year hotel camera without strong series without leg rest.,2023-04-20
69,8,67,4,Statement easy get every visit right both special information she.,2025-02-20
70,3,78,5,Drive attack order land public the.,2022-08-01
71,3,42,5,I doctor describe tell argue mean.,2022-10-05
72,6,21,4,Five our pull fly few century produce determine feel article we they treatment.,2024-02-09
73,10,95,3,New another general poor high modern recent impact feel contain Mrs.,2022-07-27
74,10,44,5,Feeling remain south trip none whose newspaper care.,2022-07-29
75,9,69,4,Form bad last he movie stop appear help.,2024-01-09
76,10,39,4,Them could seven right next look.,2025-01-30
77,1,48,3,Field training deep couple scientist section senior trial receive region.,2023-03-11
78,2,54,5,Need simply herself move grow end mention market better.,2025-07-12
79,5,93,1,Seven floor data fine animal ten scientist administration network once result far.,2022-05-22
80,10,61,3,Here street material pressure range either start whom.,2024-03-03
81,10,74,2,Leave run goal cause national contain threat wrong whatever model stuff avoid.,2024-11-16
82,1,75,4,Share include successful discuss religious across.,2023-08-17
83,3,68,5,Art point value tree process administration mother in admit reveal.,2023-09-30
84,7,19,2,Admit spend purpose south travel blood benefit chance court.,2023-09-17
85,1,74,1,Environment however health image north wrong difficult range summer president.,2025-01-13
86,4,3,4,Behavior here need argue act commercial.,2023-08-09
87,6,54,2,Population former with wind thus try discover top realize note even.,2025-04-20
88,7,89,2,Tonight nor allow up fire which onto sell require.,2023-03-13
89,7,65,5,Federal nor note support quality music.,2023-02-20
90,8,95,1,So ready bad seat generation best discussion.,2021-11-28
91,3,67,2,Shoulder western however similar ahead event yeah make green wait it quickly produce.,2021-12-12
92,9,42,4,Far east available environmental here six child hope guess before wall know seven.,2022-01-05
93,9,49,3,Cost large never impact ago government behavior.,2023-12-30
94,3,59,5,Tell activity including single right nice yeah drug minute rate.,2022-04-13
95,6,70,3,Feeling manage as itself inside machine baby edge east.,2024-02-08
96,5,79,4,Pattern leader career according how success here television key issue statement prepare organization.,2022-10-21
97,4,32,3,Water cut fire who why fact reason make office drug heavy staff hotel.,2022-01-22
98,9,39,2,Customer young conference should agree road wall decide something story attorney summer some.,2024-04-18
99,5,99,3,Plan drug probably resource smile available wrong.,2023-07-10
100,4,89,4,Move type thank industry already why reduce speech order trial body.,2022-08-06
